Date,Day,Answer,Clue,Dir
01 Jan 18,Mon,Chaffinch,Light-hearted teasing of part of the foot of a bird,A
01 Jan 18,Mon,Beds,Places to sleep in the county,A
01 Jan 18,Mon,Breakfast,Rest quickly after a meal,A
01 Jan 18,Mon,Exiled,"Eastern team were in front, but were expelled",A
01 Jan 18,Mon,Beard,Possibly debar facial hair,A
01 Jan 18,Mon,Title,Just claim it's a name,A
01 Jan 18,Mon,Mean,Intend to be stingy,A
01 Jan 18,Mon,Tramp,Vagrant on a merchant ship,A
01 Jan 18,Mon,Viol,Instrument - you can get another one in,A
01 Jan 18,Mon,Arose,A flower came up,A
01 Jan 18,Mon,Nails,Possibly slain with tacks,A
01 Jan 18,Mon,Maoist,Atom is split by Chinese communist,A
01 Jan 18,Mon,Badminton,"No bat, mind, can be used for this game",A
01 Jan 18,Mon,Tour,Excursion visiting ancient city?,A
01 Jan 18,Mon,Brashness,Impudence of bighead also showing impetuosity,A
01 Jan 18,Mon,Objective,Not partial to the thing I have,D
01 Jan 18,Mon,Addiction,Modern speech showing dependence on drugs?,D
01 Jan 18,Mon,Herd,Said to have listened to The Animals,D
01 Jan 18,Mon,Frame,Part of a film in which Stephen Hendry takes part?,D
01 Jan 18,Mon,Infirm,Ailing members of the company,D
01 Jan 18,Mon,Cosh,Truncheon keeping the company quiet,D
01 Jan 18,Mon,Beret,Hat taken from the scribe returned,D
01 Jan 18,Mon,Bears,Carries animals,D
01 Jan 18,Mon,Depositor,He expects interest to be shown,D
01 Jan 18,Mon,Inventory,Boffin-like list?,D
01 Jan 18,Mon,Pagan,Heathen father on horseback,D
01 Jan 18,Mon,Lammas,Priests take in many on August 1st,D
01 Jan 18,Mon,Lenin,Former Russian leader got up at 9.50,D
01 Jan 18,Mon,Fair,Just light,D
01 Jan 18,Mon,Moss,No adherent of The Rolling Stones!,D
02 Jan 18,Tue,Coups,Masterstrokes when the trophies are placed round the ring,D
02 Jan 18,Tue,Appears,"A paper's misprinted, but is published",A
02 Jan 18,Tue,Arsenal,Rural roads the artist put back in the magazine,A
02 Jan 18,Tue,Torso,Part of a sect or society to which members are attached,A
02 Jan 18,Tue,Tots,Drinks for those in the nursery class,A
02 Jan 18,Tue,Made fast,Manufactured quickly and securely tied up,A
02 Jan 18,Tue,Rack,This could stretch the luggage space,A
02 Jan 18,Tue,Acts,Dramatises part of the New Testament,A
